text_orig,EDPatience
Incidence of anorexia nervosa in young people in the UK and Ireland: a national surveillance study | BMJ Open #openaccess  https://t.co/sFm4IQmy4p,0
"Nutrients | Blood SIRT1 Shows a Coherent Association with Leptin and Adiponectin in Relation to the Degree and Distribution of Adiposity: A Study of Obesity, Normal Weight and Anorexia Nervosa https://t.co/B1REKue4eA",0
Follow my Tumblr lol #edutwitter #edtw #EDtwt #bulimia #anorexic #meanspo #sweetspo #thinspo https://t.co/yMGOjjwKro,1
But let’s continue with the absurd whataboutery and mention anorexic models every time someone criticizes the promotion of obesity under the guise of #bodypositivity.,0
"Okay, so I’m new to #EDtwt and so imma tweet my stats and a bodycheck  Start weight- 138 lbs Current weight- 113 lbs Underweight goal- 65 lbs Height-5’4 Age-16 #anatwt #bulimia #bodycheck #edtwt #fat #bulimic #anorexic #eatingdisorder https://t.co/BCOGfxdtCC",1
I’m fastening!!!!! I’m planning on making it to 200 hours  #anatwt #fasting #anorexia #anorexic #skinnyspo #bulima #bulimic https://t.co/v6SHuRvupN,1
"Just published from my time at CHEO. This study explores a  very complex and controversial topic in Eating Disorder research - Should physical activity be incorporated in the acute treatment of Anorexia Nervosa?  Check it out,  https://t.co/mB2eXXjLno",0
"#Binge #Rehash This will probably annoy a lot of people, but that’s what going against stereotypes does. I wrote this to tell people that there are better places than the ones they go to to #Delhi https://t.co/3IRzh4cb08",0
"Each person is different, knowing the roots of your #BED can help identify what #Treatmemt works best for each case #BingeEatingDisorder #EatingDisorsers #DBT #CBT https://t.co/JISqDm8rc4",0
"I've been so fucking motivated to lose this weight.  I'm a fat piece of shit, I'm not worthy like this.  I will be when you can see my ribs 🖤 #anatwt #anorexia #anorexiatips #anorexic #edtwt",1
"Can someone give me fasting tips? Like how to not give in to cravings, resist chewing and spitting food, etc. I'm trying to lose 2 kgs before the 20th, thank you #edtwt #thinspo #anorexic #anorexia #proana #bodycheck",1
What do you recommend to lose weight? (TW⚠️) #twed #twtr #selfharm #EDtwt #proana #promia #anaymia #proanorexia #anemia #anorexia #anorexic #anorexiatips #weightloss,1
"Would anyone like to interact? ^-^ looking for friends who like  • the occult  • talking about adding stuff or not  • planning meals, spells, workouts, diets, etc.  I'm genuine and I’d love to make sun friends :3  rt/ like/ dm #EDtwt #anatwt #thinspo #anorexic #weightloss #proana #goth",1
If I eat 950 calories a day I will be 95 pounds by my 18th birthday :D and that doesn’t include the calories I burn at work so we’ll see  #bulimia #diet #anorexia #anorexic #anorexiatips #anorexie #eating #eatingdisorder #proana #proanatwt #thinspo #calories #calorie #skinny https://t.co/rUo4LHlAbD,1
@scllygibson Thatcher never was as skinny #anorexic  as Gillian.,1
Binge eating is often fueled by not eating enough throughout the day.  Instead of avoiding your trigger foods and trying to “be good” why not try to NOURISH yourself adequately and regularly throughout the day?  #bingeeating #antidiet,0
I hate my body so much. Is there any ad gas out there that is super duper strict? I really need some motivation to lose 50 pounds before March. Thankssssssssssssssssss #proanatwt #proana #EDtwt #anorexia #anorexiatips #promia,0
New article on medical aspects of ED: Echocardiographic abnormalities in 124 severely malnourished adult anorexia nervosa patients: frequency and relationship with body composition and biological features | Journal of Eating Disorders | https://t.co/qrrR1vkgPc,0
Does #BingeEating at Night Mean You've Relapsed? || https://t.co/DLKEhS6wK9 == #mentalhealth #eatingdisorder #anorexia #bulimia #mhsm #mhchat https://t.co/M0EMcp5b0z,0
"You do not need to be severely underweight to struggle with #anorexia, many people maintain a lower than average weight, but do not look emaciated enough to be “sick.” ~ Natalie https://t.co/Y9mrCn5aAI #MentalHealth #Bulimia #EatingDisorder #ED",0
"hey really new to Ed Twitter pleases interact with this I need friends to help me, I’ll also be doing weekly weight check ups ☺️#proanatwt #thinsp0 #anorexia #EDtwt",0
🎬🍿 ED MOVIES 🍿🎬 ( I (commend ) 🖤)edtwt #thinspo #meanspo #thin #fatspo #anorexia #proana https://t.co/pZvj5aZ3zl,0
"(not me) I need someone to be my mean yet ED coach, pleaseI have barely any self control  #depressing #sad #depression #depressed #anxiety #broken #sadness  #alone #suicidal #suicide #worthless #selfharm #dead  #selfhate #help #hate #anorexia #stress #bulimia https://t.co/fL8FIfpGlE",1
Ghrelin activation and neuropeptide Y elevation in response to medium chain triglyceride administration in anorexia nervosa patients - ScienceDirect https://t.co/JMDxv9NiQE,0
Researchers receive grant to study treatment options for binge eating disorder in veterans https://t.co/XYHzvFu5st #Health #inshape #LifeStyle #Keto #weightloss #Covid19,0
"someone bully me for like 2 days, so I’ll actually commit to this fast #meanspo #sweetspo #edtwt #EDtwt #eatingdisorder #anorexia #anorexiatips #anorexic",1
Why is it that as soon as I have some sort of emotional response to something (anger/sadness/etc.) I immediately flick in to Binge eating mode. I've been a binge eater for as long as I can remember tbh. A daily struggle sometimes to overcome it. #BingeEating #EatingDisorder https://t.co/8JHv47NEpI,1
Podcast by GNCs @lisadinkler on Anorexia and autism  https://t.co/3eMK5a0TN2 #autism #anorexia #essence,0
"Water Spinach can be an invasive problem in some tropical &amp; temperate regions outside of its native range. Its use as a food is one reason it has been spread to other parts of the world. It’s been reported in FL, CA, HI and WA. https://t.co/28LMLFbnBf https://t.co/10qwYnN62k",0
"I have a problem, I love spicy and hot food 🌶️🥵. When I eat there has to be chchillingn the side, whether it's fresh chchilesr sauce .. hope this doesn't affect my health in the long run",0
In all the years I’ve had anorexia I’ve never felt  unwell as I did this morning! Literally don’t know how I made it to my GPs office!! I’ve dropped two eating disorder behaviors and I am actually worse than I ever was 🤷🏼‍♀️ What a shitty illness!!,1
"Ok, I’ve been the worst anorexic for like the past month, it’s time to get my shit together, I’m starting to count calories and diet again more until the end of the month",1
"like I'm eating AT MOST 400 calls every day (usually 200) and exercising for at least an hour every day and only binged once this month and it was really just over eating not even a binge like,, what the fuck is wrong with my body",1
I am the best anorexic  ⓘ  Official sources say that this statement is true and extremely accurate,1
Now this phase is the hardest one. Binge eating omg I starved my body too much I guess,1
I do worst anorexic 😔,1
"Why do you guys come up with these dumb calculations?? First my waist should 21 inches and now I shouldn’t eat more than 470 kcals, I know anorexia can kill you, but I’m not tryna speed up the process",1
"Higher-calorie diets could lead to a speedier recovery in patients with anorexia nervosa, new research suggests https://t.co/mipX3n9Gjd #diet #anorexia #mentalhealth",0
Thanks t😍o research leaders: @NEDA @aedweb @EDResearch @UCLAHealth @UCSD_EDC @EatingRecovery  &amp; more who inform clinical practice  @Carolyn_Costin &amp; prevention @4BreakingChains. Seven Tips -Facing Thanksgiving with an #eatingdisorders | Psychology Today  https://t.co/SydgWyfj7G,0
How are we edtwt #EDtwt #bulimia #anorexic #meanspo #sweetspo #thinspo #ana #proana https://t.co/YpazDv9AbE?,1
We are looking for adults with obesity and binge eating disorder or emotional overeating to join a public involvement panel for our proposed research study of a new treatment: https://t.co/tG0Y7aKern @ObesityUK_org @beatED,0
New wallpaper adult 💗 #proana #notprojustusingtags #EDtwt #bulimia #3dtwt #edtw #thinspo #ana #anorexic https://t.co/ZfHfEgMPGq,1
ED TWT HOW DO YOU PREVENT HAIRLOSS/MAKE YOUR HAIR THICKER #ED #edtwt #anorexic,1
"Naltrexone + Bupropion Combination for the Treatment of Binge-eating Disorder with Obesity: A Randomized, Controlled Pilot Study https://t.co/a9zqeqV95g https://t.co/HaZSyaQcbm",0
"Does anyone wanna be in a group chat with weekly weigh ins and sweetspo if you lose, means if you gain??? Yes?? No?? Lol #EDtwt #thinsp0 #bonesp0 #anorexiatips #anorexic #proanatwt #proana",1
Why eat when you'll be hungry again #meanspo #thinspo #proana #bonespo #edtwt #twitter #anorexia #anorexic?,1
Envious of some people who have access to all the medical/PTSD treatment but don't use them.  I'd get #bipolardisorder #anorexic #PhysicalTherapy every day if I could afford it.  #jealousy #salty #Medicare,1
"Anyways, if I’m not active it’s because I'm crying over this 👋😗 #proana #ana #restricting #mia #promia #EDtwt #edtw #edtwitter #thinsp0 #thinspo #anorexic #ed #anorexia #anor3xia #skinnyspo #weightloss #notprojustusingtags #skinny https://t.co/miOymvWYSq",1
Research shows that the findings from clinical trials on treatments for mental disorders have a high risk of bias. #sciencenewsdk https://t.co/u1GaZ0fymn,0
"Cow eating disorders, weight loss to brag about either being a nutritionist when one of her athletes developed anorexia is cruel, arrogant and cynical does Daniil think we forgot about the powder only diet she put Yulia on? These people have no conscience and no shame",0
"Naltrexone + Bupropion Combination for the Treatment of Binge-eating Disorder with Obesity: A Randomized, Controlled Pilot Study https://t.co/MUwutkRVSA #ClinicalTherapeutics #Physicians",0
some pics I &lt;3 and want 2 b #thinspo #thin #skinny #skinnyspo #skinnyteen #ed #edtwt #edtwitter #EDtwt #anorexic #anorexia #thinsp0 https://t.co/QIpbsn7LPd,1
I binged last night so we fasting for the rest of the week #proana #ana #restricting #mia #promia #EDtwt #edtw #edtwitter #thinsp0 #thinspo #anorexic #ed #anorexia #anor3xia #skinnyspo https://t.co/ahAmV6UwrM,1
"(Ed tw)  - - - - we had snacks and stuff in my science revision and my teacher goes “okay if you answer these, you’ll get food” and I go “who’s gonna tell him I’m anorexic?” a little louder than intended he’s asked me to stay behind you ❤️",1
"I need more moots follow me if you: - are anorexic - have body dysmorphia  - crave everything  - cry 24/7 - have bed - are a terrible anorexic - are bulimic (I’m not, but still) - is afraid of purging (me lol) #anorexic #ana #prorecovery #proana #thinspo #bulimic #bulimia #mia",1
not me passing my weigh in with fucking rocks in my bra and ten layers of clothes AND drinking shit tons of water xddd  still passed it to 🤷🏻‍♀️  #edtwt #proana #thinspo #thinsp0 #meanspo #bonespo #thinspiration #edtw #anorexic #anorexia #ana #anamia #mia #ed #eatingdisorder,1
"Hey #CBTworks peeps, @steinglmd @ColumbiaED will be talking about computational #neuroscience approaches to understanding maladaptive behavior in anorexia nervosa at #ABCT2020 tomorrow -- check it out!",0
Email her frame #proana #ana #restricting #mia #promia #EDtwt #edtw #edtwitter #thinsp0 #thinspo #anorexic #ed #anorexia #anor3xia #skinnyspo https://t.co/2wxQrMIZuO,1
Some #anorexic #edmemes https://t.co/oYoXrbaLpN,1
I want 2 b):  #ed #edtwt #EDtwt #skinny #thin #thinsp0 #thinspo #anorexia #anorexic #eatingdisorder https://t.co/UI4cNA5g1B,1
"Seriously, this empty stomach thing is fucking amazing.  I seriously don't understand how I could ever cope with having a full stomach, it's not worth the calories to have a full one.  #proana #proanatwt #anorexia #anorexic #edtwt #EdTwitter",1
"The next phase of the study I'm participating in for Binge Eating Disorder has started, I’ve got to do a DNA swab. I can't stop thinking Dr Mephesto is running it and I'm gonna get cloned wrong, or end up with multiple uses. https://t.co/WuHd7JTWep",0
"Cancer Anorexia/Cachexia Syndrome Disease / Global Clinical Trials Review, H2, 2020 https://t.co/djveDyZXCG #lifescience #medicaldevices #biotechnology",0
"Anyone involved in any way with #anorexia should read this. In our case, separating the condition from the person was fundamental to a good outcome. #anorexiarecovery #anorexiatips #anorexic",0
THIS IS SOOO TRUE #meanspo #thinspo #proana #bonespo #edtwt #twitter #anorexia #anorexic https://t.co/PuJwWZXpCB,1
"God, I missed the low intake/no sleep shivers 🤘🥴👍 #restricting #promia #proanatwt #EDtwt #edtw #edtwitter #thinsp0 #thinspo #anorexic #ana #mia #proana #ed #anorexia #anor3xia #notprojustusingtags",1
"You know what sucks? Having the NEED to exercise, but being physically unable to due to mobility issues 🙃  #restricting #promia #proanatwt #EDtwt #edtw #edtwitter #thinsp0 #thinspo #anorexic #ana #mia #proana #ed #anorexia #anor3xia #notprojustusingtags",1
"Made an old school thinspo aesthetic-- ah, sweet nostalgia 💜#restricting #promia #proanatwt #EDtwt #edtw #edtwitter #thinsp0 #thinspo #anorexic #ana #mia #proana #ed #anorexia #anor3xia #notprojustusingtags https://t.co/ir6l7JkhSP",1
I made a softer one too ♡ #restricting #promia #proanatwt #EDtwt #edtw #edtwitter #thinsp0 #thinspo #anorexic #ana #mia #proana #ed #anorexia #anor3xia #notprojustusingtags https://t.co/BmGOsiAlnO,1
How much lbs/kgs have y’all lost/gained in the last 2 weeks? #ana #mia #anorexia #Skinny #anorexiatips #anorexic #thinsp0 #thinspo #fatspo #meanspo #sweetspo #fatsp0 #anatwt #ed #edtwt #eatingdisorder #proana #proanatwt #bed #Fatty #miatwt #anorexie #anorexiarecovery,1
"Some cannabis researchers describe serious withdrawal symptoms including aggression, anger, irritability, anxiety, insomnia, anorexia, depression, restlessness, headaches, vomiting, and abdominal pain. #livelongerbetter #fitness #fitafter50 https://t.co/eisDe4ZAPe #withdrawal",0
"New Research: Understanding Dietary Intervention-Mediated Epigenetic Modifications in Metabolic Diseases: The global prevalence of metabolic disorders, such as obesity, diabetes and fatty liver disease, is dramatically increasing. Both genetic… https://t.co/abUu0vvBQG #Genetics",0
"So. Are you a Melanie Martinez EDer, or a Mother Mother EDer? #restricting #promia #proanatwt #EDtwt #edtw #edtwitter #thinsp0 #thinspo #anorexic #ana #mia #proana #ed #anorexia #anor3xia #notprojustusingtags",1
Things to do instead of eating (ive recovered BED three times edition) #proana #ana #restricting #mia #promia #EDtwt #edtw #edtwitter #thinsp0 #thinspo #anorexic #ed #anorexia #anor3xia #skinnyspo #weightloss #notprojustusingtags #skinny #fasting #IntermittentFasting,1
"I used to make aesthetic thinspo boards on and by request, and I wanna do that here too! So RT with your fav color, general aesthetic, and gender &amp; ill make you one!!! :) #restricting #proanatwt #EDtwt #edtwitter #thinspo #anorexic #ana #mia #ed #anorexia #notprojustusingtags",1
thinspo ☆彡 ~ a thread #thinspo #thinsp0 #edtwt #EDtwt #ed #legspo #skinnyspo #anor3xia #anorexic #skinny #edtw https://t.co/0A0jZo1cZm,1
"God, I fucking love tea so much-- my go to is Lavender, Camomile and Coriander 😍 with just the tiniest bit of acacia honey oml its to die for #restricting #promia #proanatwt #EDtwt #edtw #edtwitter #anorexic #ana #mia #proana #ed #anorexia #anor3xia #notprojustusingtags https://t.co/K0rcrRWDMB",1
"Just weighed myself, lost almost 3 lbs in 3 days :)  #anorexic #EDtwt #proanatwt",1
Anyone have advice on the munchies. I swear smoking weed makes me break my fasting all the time. How do I fight the munchies. All advice welcomed!!!!😫  #proana #anatwt #anorexic #ed #anacoach,1
"Interact to be moot! ♡ 14-19 yo ♡ edtwt/Stuart only, no pro Ana!!!! I am: ☆ 14 ☆ female ☆ bisexual ☆ SD anorexic (I did a lot of research before even considering sending to!)",1
Hey there! I’m anorexic and I want to create a group chat where we can share our daily routine of just keep up with each other. Just support and help reach our goals #thinsp0 #thinsp #anorexic #anorexìa please can you send a dime so that I can make it. I have no friends. Thank you,1
It's like.. Weird to use hashtags but like how else do I find someone... Like no one interacts with me lol... So like... #anabuddy #ana #proana #proanatwt #anorexic #anor3xia,1
Maybe the reason I hate eating around people is because family dinners always end in fights at my house 🙃 #restricting #promia #proanatwt #EDtwt #edtw #edtwitter #anorexic #ana #mia #proana #ed #anorexia #notprojustusingtags,1
"Tw eating disorder  // me: “one of these days I'm just not gonna eat, then. then you will see”  also me: researching if I have a binge eating disorder BC I cannot stop eating",1
"I’m searching for an one coach, please reach me on discord rory#0100 if you're interested #anorexia #anorexic",1
Download PDF Eating Awareness Journal for BINGE EATERS: A Food Crazy Mind Journal 6x9 (Guided Journals &amp; Trackers) &gt;&gt; https://t.co/d4i0FVxrZ0,0
@TheTodayShow @Channel9 The shaft of the sledgehammer is thicker than Alison Langdon's arms! 🤔😮🙀😂  #9News #9Today #anorexic https://t.co/Vp5xwx9b1P,0
"Well, I binged, but it’s not gonna make me give up. I’m already back on my weight loss grinding. Not gonna let this affect me like the other times #BED #TW #ED #EDtwt #binge #regret #anorexia #proanatwt",1
Can someone add me to a pro Ana group chat? I need some good motivation  #3dtwt #EDtwt #EdTwitter #proanatwt #proanacoach  #anamia #ana #anor3xia #anorexia #anorexic #bodycheck #bonesp0 #bonespo #eatingdisorder #ed #eddiet  #edtw #edtwitter #edtwt  #fatsp0 #fatspo #mia,1
Thanksgiving and #Anorexia Recovery || https://t.co/Ojr87Oo5C6 == #mentalhealth #bulimia #edrecovery #mhsm #mhchat https://t.co/wBAFURdd8k,0
"Vaccines linked to mental disorders by Yale study “The researchers found correlations for one vaccine in particular: the influenza vaccine, which was associated with higher rates of OCD, anorexia, anxiety disorder and tic disorder.” #TheSilentKiller  https://t.co/eQfvSwx0u9",0
twinkle toes 🙈✨#edtwt #meansp0 #sweetsp0 #proana #proanatwt #thinsp0 #bonesp0 #EDtwt #anor3xia #anorexic #bonesp0 (not pa projust tags) https://t.co/GeGPrecLLq,1
♡My take on restricting ♡ Find what you like and just eat that! So for me it's white monster and broccoli!!! So much easier in the long run #EDtwt #EdTwitter #anorexia #anorexic #anoreksia #edmeme #edthings #edrant #hardedtwt https://t.co/qcHrfOVAwC,1
literally just LET ME BE SKINNY OMFG #anorexic #notprojustusingtags #proana #edtwt #sweetspo #meanspo #thinspo,1
"I was about to post the hashtag #anorexiarecovery &amp; noticed that the ""anorexia tips"" hashtag exists Please stop hurting each other you fall into an abyss that is incredibly hard to come out from I would never wish for someone to be as sick as I was &amp; even less help them #StopIt https://t.co/SoT0hcROV7",1
I’m suffering. I have #anxiety and an #eating #disorder at the age of 40. The ED went away in my 30’s but it came back last June. I’ve kept quiet until now. #bulimia #binge #eating I think I might quit my job &amp; focus on getting well &amp; healthy. #lifestyle change,1
"“For Me, the Anorexia is Just a Symptom, and the Cause is the Autism”: Investigating Restrictive Eating Disorders in Autistic Women https://t.co/YxwLb60DWA #Springer #JournalofAutismandDevelopmentalDisorders",0
"It's my brother's birthday, which means I have to eat takeaway for dinner and breakfast. Barb gonna cry, :'( #anorexic #EDtwt",1
"Just discovered this fantastic work, and helpful resources on @PEACE_Pathway's website 🙏🏻 We exist, and we NEED this tailored care pathway to improve prognosis. #Autism #Anorexia #Hope #FeelingPositive",1
"Bad news boys, at my best friend's birthday party I was convinced to go over my calorie limit 😔✊ rip... time to fast all day 🙃  #restricting #promia #proanatwt #EDtwt #edtw #edtwitter #thinsp0 #thinspo #anorexic #ana #mia #proana #ed #anorexia #anor3xia #notprojustusingtags",1
Me? Following toxic pro and people to trigger myself?? More likely than you think. #ricecaketwt #anorexic #bulimia #proanatwt,1
I was gonna start tagging every single thing I post because NO ONE IS LIKING THEM!!! Anyways #edtwt #anorexic #imgonnafuckingkmsifidontstartgettinglikesansvalidation,1
Binge eating recovery is fucking hard. #bingeeating #disorderedeating,1
"So apparently 99.95% of us will be overeating on Thursday, and 86.33% will blame the sluggishness on the tryptophan in the turkey.  Some of that sluggishness will undoubtedly be done with the #binge eating.  Nobody likes how they feel all swelled up and stuffed.",0
"I was #anorexic in 1972 before anyone knew what that was. Lasted for years w/o treatment. It still informs me. I tried so hard to throw up, but that never worked. Watching #TheCrownSeason4 brings a lot of things up to the surface even now.",1
Why attend an OA meeting? #bingeeatingdisorder #anorexia #bulimia https://t.co/uPPnZpHwe6,0
Do you have periods of controlled eating and then binge? Don't know how to stop #bingeeating? Does the way you eat baffle you? Our binge eating members have found release from food obsession by working the AEA 12 Step program. #addictiveeating https://t.co/ulOfztjO4f,0
"Wow, thanks to moot, I'm pretty sure I have atypical anorexia, ive never heard of it before and ill do more research but it sounds a lot like me",1
"3) One common explanation is that the mischaracterization of ME/CFS as a psychosomatic condition hampered investment in research.  But anorexia, anxiety, and depression are getting more than 10 times the level of funding per DALY than ME/CFS.",0
HOW TO STOP HAIR LOSS?!?! I'M LITERALLY FUCKING CRYING SOMEONE HELP ME RN  #edtwt #proana #thinspo #thinsp0 #meanspo #bonespo #thinspiration #edtw #anorexic #anorexia #ana #anamia #mia #ed #eatingdisorder,1
"Tw // Ed, depression, anxiety, according to my dad, anorexia is just a fancy word for ""shallow dumb selfish teenagers (mostly girls Ofc) that prioritize appearance over their health just to please others.."". As if making fun of my anxiety and calling me childish for-",1
I’ve been researching treatment centers just to see their wording surrounding binge eating disorder. I am appalled at what I have been finding... how I ended up at treatment center that was health at every size aligned last year I have no idea...,0
Ana and Mia are my good friends Ana and Mia are always there for me Ana and Mia don’t judge me Ana and Mia makes me happy  Ana and Mia isolate me from my friends and family  Ana and Mia made people lose their trust in me Ana and Mia is all that I have left #bulimia #anorexic #ed,1
"Hey, does anyone on here chew and spit? Like, is that a good strategy or...? #restricting #promia #proanatwt #EDtwt #edtw #edtwitter #thinsp0 #thinspo #anorexic #ana #mia #proana #ed #anorexia #anor3xia #notprojustusingtags",1
"#BeingDisabledDoesDefineMe I also have depression, PTSD, anxiety, and am obese and diabetic due to years of Binge Eating disorder as a result of the BPD. /3",1
Her waist 💚 #thinsp0 #thinspo #edtwt #ana #anorexic https://t.co/emcEv9iX2G,1
"Still in need of Female participants with current and remitted diagnosis of Anorexia Nervosa, to take part in a study investigating 'the observation of affective touch and the association with eating behaviors  https://t.co/YwvVfQrmxs",0
"Binge eating can be triggered by emotions and stress, but there are physiological factors at play too. Here are 5 factors that can cause binge eating #BED #nutrition #emotionaleating https://t.co/kwBArkYgqs https://t.co/mPOFMWod8Z",0
"Cognitive remediation not effective enough for treating anorexia nervosa and obsessive-compulsive disorder, new research finds https://t.co/6agRe13kUa #mentalhealth #cognition #OCD #anorexia https://t.co/SrO3NuCLnb",0
"Not addressing the serious implications of eating disorders has cost the U.S. economy billions, study shows https://t.co/dBpHBXyyxv #mentalhealth #anorexia #science https://t.co/2Z2Exm3NJ2",0
A HUGE thank you goes to SPEAKS participants when reaching important milestones in their therapeutic journey: in the form of a hand-written card. Because research wouldn't be possible without them! #research #engagement #anorexia @NELFTResearch @SPFTSEDS @SPEAKSstudy @CCCUAppPsy https://t.co/vKOzJTcxEu,0
"The actual reason of anorexia is in graphology. I, m completely aware we don't consider graphology as pure science. But just check handwritten  signature of anorexic persons you will find some common traits in them. @ANADHelp @NEDAstaff  @aedweb  @EDHopeGlobal",0
Why do low restriction and high exercise not work for me? #anorexia #anorexicproblems #proana,1
the irony of having an eating disorder and studying professional cookery for 5 years 💔,1
Cannabis and anorexia? Let's see what the research says: https://t.co/oH6XaMJ7Qv,0
COVID has presented unique...  https://t.co/wC90CswtQK #Anorexia #AnorexiaNervosa #Australia #Australian #BingeEating #Bulimia #Covid19 #Depression #EatingDisorders #Employment #Exposure #MentalHealth #Research #SocialMedia #SwinburneUniversityOfTechnology #University https://t.co/aX7el0ekun,0
"✧･ﾟ: *hi I’m I! ･ﾟ: * ✧ • 18 • she/her • new to edtwt, not to add  • cw: 133 • gw: 110 • ugw: 100 • rt to be mortals, especially if you’re 18+!  #edtwt #EDtwt #ana #thinspo #sweetspo #meanspo #ed #anorexia #anorexic #bulimia #bulimic",1
"Re-reading old journal entries, anorexia recovery. What language does your ED voice use? https://t.co/SouVdkrvWq",0
"Absolutely, more process research is needed into the underlying mechanisms of #anorexia to better understand treatment. The @SPEAKSstudy hypothesis that emotional experience is a maintaining factor for AN. Securing future funding is crucial to keep #research going @Wera_Hobhouse",0
"Fourteen years of dieting, exercise and #bingeeating began. I would be on a diet perfected for a period of time, then something would happen – didn’t matter what it was - and, like a switch, I would be off the diet. #addictiveeating https://t.co/ulOfztjO4f",0
"Higher-calorie diets could lead to a speedier recovery in patients with anorexia nervosa, study suggests https://t.co/mipX3nrhHN #eatingdisorders #anorexia #mentalhealth https://t.co/E9tBOGYMi4",0
"A brilliant work... a definite must read for clinicians from both fields of expertise. - Paola Falcoski MSc, Advanced Specialist Eating Disorders Dietitian  https://t.co/WT1K9VcFfS #autism #eatingdisorder #disorderedeating #autistic #asd #asc #anorexia #anorexic https://t.co/iuiTBuh1Fb",0
New Research: Exploring Differences in the Role of Hospitalization on Weight Gain Based on Treatment Type From Randomized Clinical Trials for Adolescent Anorexia Nervosa: Background: This study explores the impact of weight gain during… https://t.co/hFQ6Mc1C5w #Psychiatry,0
Using celebrities who have/had an idea for your profile picture and/or using them for thinspo is prone. Grow up. #anorexia #ana #Celebrities #proana,0
I just wanna sleep thru thanksgiving. Can it be an option to celebrate... I literally am stressing over what I’m going to be forced to eat. #edtwt #anorexia #anorexic #EDtwt #thinspo #meanspo #ana,1
Battling an Eating Disorder: From Restricting to #Binging https://t.co/aGQD6HzI65 #anorexia,0
"Do you ever wish you could stop Thanksgiving BINGE EATING (or DRINKING)? 🍗🌰🧇  Well, now you CAN with my TOP 5 TIPS!! 💫 Check out the link to a video that shows you exactly HOW to do it! 👉htt👉 ://t.co/uFd6rOKzdv #bingeeating #eft #Thanksgiving2020 Much Love, Britt xoxo https://t.co/V2yR37hnce",0
#BingeEatingDisorder is characterized by frequent episodes of binge eating. Individuals feel loss of control during these binge episodes.  #journalofobesityandeatingdisorders https://t.co/kvDofvzk0B,0
"I hope everyone's Thanksgiving goes well, remember that one binge day won't ruin all your progress.  #anatwt #proanatwt #anorexic #bulimia #EDtwt",1
"Should physical activity be included in treatment plans for teenagers that suffer from anorexia nervosa?  There are benefits and risks to this, which can be found in the International Journal of Eating Disorders: https://t.co/HjPxFJkb0j https://t.co/ZJF0TOs3rg",0
#edtwt #edthings #ana #mia #proana #promia #ed #healthyedtips #anorexia #anorexiatips #bulimia #bulimiatips  Good luck with today fellow Ed community! It’s a stressful day. Take care of yourselves.,0
IM ORDERING MYSELF A SCALE TOMORROW!!!!! #EDtwt #edtwt #thinsp0 #anorexic #anorexia #meansp0 #sweetsp0 #proanacoach #proanatwt,1
"As a coach, you'll encounter clients with PTSD, which they may not disclose. Focusing on the present can be difficult for those with PTSD and many can forget to eat properly and plan for meals. Binge Eating Disorder can be the result. #bingeeating #PTSD #emotionaleating #anxiety https://t.co/eoichcAEda",0
Research Study for Adults with Chronic #Anorexia in Connecticut: We are investigating the effectiveness of a two-part outpatient protocol using a sequential metabolic #diet followed by a short series of medication infusions #eatingdisorders #research https://t.co/R4CSZMe4lA https://t.co/26JnQSQQwl,0
"Meanspo thread (will be adding to it)🌻  [[promoeadtwt aanorexia, bulimiaeating disorder ]https://t.co/tcDfTLHVna",0
"I don’t like publicizing my business, but I am a former anorexic, but I gained weight so now most of my clothes don’t fit I really need a new wardrobe so I don’t relapse x @OfficialPLT #bodypositivity #PLTPinkFriday",0
someone gives me proana quotes and don’t come to me with that skinny feels Kate moss one 💀 #proana #ana #anorexic #anorexia,1
really trying not to self harm right now 😭#EDtwt #anatwt #anorexia #edtw #anorexic #meansp0 #sweetspo #thinsp0 #proanatwt #proana ((ot pa projust tags),1
"Hi, I'm not new to #EDtwt but  -Lillian/Lilly -she/her -14 -kpop -gw 100-95 pounds Like/comment/follow to be moots #anorexia #anorexiatips #anorexic #anorexie #eatingdissorder",1
"Monday we start with a new therapy. I'm hopeful, and scared. What if it doesn't work, if it makes things worse, why can't I just hide under the covers? #parenting #parentingfail #anorexia #anorexic #momlife #mentalhealth",0
Bitch pls stop outing me #anatwt #proana #proanatwt #anorexia #anorexic #edtwt #EDtwt https://t.co/0nHtBILVnM,1
I am keen to connect with more people who share my clinical and research interests 👇 Do you work in this area? DDo you liveexperience? Comment below and let's connect 😊 #AcademicTwitter #MedTwitter,0
Some more ED related art by me.  (Sorry if my art looks gross hhahnsjfkfkfkdn) #EDtwt #edutwitter #ed #anorexia #bulimia #skinnyspo #thinspo #proana #meanspo #ana #mia https://t.co/d0X1lFvVdd,0
@KIRBYKILOS yes #AgagaWorstAnorexic 🙄 sacrifice your ankles to aAnaiIthought you wanna be the best anorexic 🤨,1
Promising results of our study on outpatient enhanced cognitive behavior therapy for severe and extreme anorexia nervosa https://t.co/VmqMoMFK0R,0
"Researchers at Imperial College London are looking for people with experience of obesity, and either emotional eating or binge eating disorder to help them design a new research project.  Find out more and apply here: https://t.co/zBdx8E6rm8'",0
